Wavelength	k
0.00000025	3.59E+00
0.00000026	3.99E+00
0.00000027	4.60E+00
0.00000028	5.20E+00
0.00000029	5.31E+00
0.0000003	4.29E+00
0.00000031	3.62E+00
0.00000032	3.28E+00
0.00000033	3.09E+00
0.00000034	2.96E+00
0.00000035	2.91E+00
0.00000036	2.91E+00
0.00000037	2.14E+00
0.00000038	9.84E-01
0.00000039	5.03E-01
0.0000004	3.26E-01
0.00000041	2.41E-01
0.00000042	1.77E-01
0.00000043	1.38E-01
0.00000044	1.12E-01
0.00000045	9.54E-02
0.00000046	7.91E-02
0.00000047	7.02E-02
0.00000048	5.98E-02
0.00000049	5.38E-02
0.0000005	4.85E-02
0.00000051	4.38E-02
0.00000052	3.95E-02
0.00000053	3.48E-02
0.00000054	2.99E-02
0.00000055	2.80E-02
0.00000056	2.66E-02
0.00000057	2.37E-02
0.00000058	2.19E-02
0.00000059	2.01E-02
0.0000006	1.85E-02
0.00000061	1.73E-02
0.00000062	1.68E-02
0.00000063	1.63E-02
0.00000064	1.47E-02
0.00000065	1.44E-02
0.00000066	1.36E-02
0.00000067	1.28E-02
0.00000068	1.20E-02
0.00000069	1.13E-02
0.0000007	1.06E-02
0.00000071	9.96E-03
0.00000072	9.33E-03
0.00000073	8.73E-03
0.00000074	8.16E-03
0.00000075	7.62E-03
0.00000076	7.09E-03
0.00000077	6.61E-03
0.00000078	6.13E-03
0.00000079	5.69E-03
0.0000008	5.27E-03
0.00000081	4.86E-03
0.00000082	4.48E-03
0.00000083	4.12E-03
0.00000084	3.78E-03
0.00000085	3.46E-03
0.00000086	3.16E-03
0.00000087	2.87E-03
0.00000088	2.60E-03
0.00000089	2.35E-03
0.0000009	2.11E-03
0.00000091	1.89E-03
0.00000092	1.68E-03
0.00000093	1.48E-03
0.00000094	1.31E-03
0.00000095	1.14E-03
0.00000096	9.82E-04
0.00000097	8.41E-04
0.00000098	7.13E-04
0.00000099	5.96E-04
0.000001	4.90E-04
0.00000101	3.96E-04
0.00000102	3.14E-04
0.00000103	2.40E-04
0.00000104	1.80E-04
0.00000105	1.30E-04
0.00000106	9.25E-05
0.00000107	6.78E-05
0.00000108	5.22E-05
0.00000109	3.98E-05
0.0000011	3.02E-05
0.00000111	2.29E-05
0.00000112	1.71E-05
0.00000113	1.24E-05
0.00000114	8.62E-06
0.00000115	5.69E-06
0.00000116	3.43E-06
0.00000117	1.77E-06
0.00000118	5.56E-07
0.00000119	2.32E-07
0.0000012	1.39E-07
0.00000121	8.09E-08
0.00000122	4.79E-08
0.00000123	2.71E-08
0.00000124	1.43E-08
0.00000125	5.88E-09
0.00000126	2.34E-09
0.00000127	1.27E-09
0.00000128	7.53E-10
0.00000129	4.48E-10
0.0000013	2.72E-10
0.00000131	1.59E-10
0.00000132	8.72E-11
0.00000133	4.20E-11
0.00000134	1.81E-11
0.00000135	1.04E-11
0.00000136	6.29E-12
0.00000137	3.90E-12
0.00000138	2.64E-12
0.00000139	1.74E-12
0.0000014	1.04E-12
0.00000141	6.04E-13
0.00000142	4.29E-13
0.00000143	2.04E-13
0.00000144	1.38E-13
0.00000145	1.09E-13
