Wavelength	n
0.00000025	1.637
0.00000026	1.737
0.00000027	2.03
0.00000028	2.84
0.00000029	4.185
0.0000003	5.049
0.00000031	5.091
0.00000032	5.085
0.00000033	5.135
0.00000034	5.245
0.00000035	5.423
0.00000036	5.914
0.00000037	6.82
0.00000038	6.587
0.00000039	6.025
0.0000004	5.623
0.00000041	5.341
0.00000042	5.11
0.00000043	4.932
0.00000044	4.79
0.00000045	4.673
0.00000046	4.572
0.00000047	4.485
0.00000048	4.412
0.00000049	4.349
0.0000005	4.289
0.00000051	4.235
0.00000052	4.187
0.00000053	4.145
0.00000054	4.103
0.00000055	4.073
0.00000056	4.038
0.00000057	4.006
0.00000058	3.977
0.00000059	3.954
0.0000006	3.931
0.00000061	3.908
0.00000062	3.888
0.00000063	3.869
0.00000064	3.851
0.00000065	3.835
0.00000066	3.817
0.00000067	3.805
0.00000068	3.791
0.00000069	3.776
0.0000007	3.765
0.00000071	3.753
0.00000072	3.741
0.00000073	3.73
0.00000074	3.719
0.00000075	3.712
0.00000076	3.701
0.00000077	3.693
0.00000078	3.684
0.00000079	3.677
0.0000008	3.669
0.00000081	3.662
0.00000082	3.655
0.00000083	3.646
0.00000084	3.641
0.00000085	3.636
0.00000086	3.628
0.00000087	3.622
0.00000088	3.617
0.00000089	3.613
0.0000009	3.61
0.00000091	3.604
0.00000092	3.598
0.00000093	3.597
0.00000094	3.59
0.00000095	3.584
0.00000096	3.584
0.00000097	3.578
0.00000098	3.582
0.00000099	3.579
0.000001	3.575
0.00000101	3.572
0.00000102	3.568
0.00000103	3.565
0.00000104	3.562
0.00000105	3.559
0.00000106	3.556
0.00000107	3.553
0.00000108	3.549
0.00000109	3.547
0.0000011	3.545
0.00000111	3.542
0.00000112	3.54
0.00000113	3.537
0.00000114	3.534
0.00000115	3.533
0.00000116	3.53
0.00000117	3.527
0.00000118	3.526
0.00000119	3.524
0.0000012	3.522
0.00000121	3.52
0.00000122	3.518
0.00000123	3.517
0.00000124	3.515
0.00000125	3.513
0.00000126	3.512
0.00000127	3.509
0.00000128	3.509
0.00000129	3.506
0.0000013	3.505
0.00000131	3.503
0.00000132	3.502
0.00000133	3.501
0.00000134	3.5
0.00000135	3.499
0.00000136	3.497
0.00000137	3.496
0.00000138	3.496
0.00000139	3.496
0.0000014	3.493
0.00000141	3.492
0.00000142	3.492
0.00000143	3.49
0.00000144	3.488
0.00000145	3.487
